customer_id,signup_date,signup_month,plan,monthly_charges,region,acquisition_channel,age_group,avg_sessions_per_week,courses_completed,support_tickets,used_mobile_app,autopay_enabled,tenure_months,churned,churn_reason,lifetime_value
CUST00026,2025-09-28,2025-09,Basic,9.87,North America,Referral,35-44,2.3,4,1,1,1,9.067017082785808,0,Still Active,89.49
CUST00027,2026-01-22,2026-01,Standard,19.54,North America,Organic Search,35-44,1.9,1,1,1,0,1.6,1,Found Alternative,31.26
CUST00028,2025-03-29,2025-03,Standard,19.93,North America,Referral,18-24,0.8,4,1,0,1,15.078843626806833,0,Still Active,300.52
CUST00029,2025-08-22,2025-08,Premium,39.95,Latin America,Referral,25-34,4.0,2,1,1,0,10.282522996057818,0,Still Active,410.79
CUST00030,2026-06-10,2026-06,Basic,9.8,North America,Referral,35-44,1.7,4,1,1,1,0.6898817345597897,0,Still Active,6.76
CUST00031,2025-10-22,2025-10,Standard,19.91,North America,Organic Search,35-44,0.2,4,0,0,1,8.278580814717477,0,Still Active,164.83
CUST00032,2024-12-18,2024-12,Standard,19.71,Europe,Partnership,35-44,1.3,1,1,0,0,11.2,1,No Longer Needed,220.75
CUST00033,2025-03-14,2025-03,Standard,19.67,North America,Paid Ads,35-44,1.2,5,3,1,1,15.571616294349539,0,Still Active,306.29
CUST00034,2026-05-04,2026-05,Standard,19.46,North America,Referral,35-44,1.9,2,0,0,1,1.9,0,Still Active,36.97
CUST00035,2025-02-06,2025-02,Standard,19.55,North America,Social Media,45-54,4.4,2,0,1,1,16.754270696452036,0,Still Active,327.55
CUST00036,2024-08-19,2024-08,Standard,19.38,North America,Paid Ads,25-34,2.5,1,1,0,1,22.371879106438897,0,Still Active,433.57
CUST00037,2025-03-13,2025-03,Basic,9.58,North America,Social Media,35-44,0.6,1,1,1,1,15.6,0,Still Active,149.45
CUST00038,2024-08-01,2024-08,Standard,19.91,North America,Partnership,18-24,1.3,3,0,1,1,22.963206307490143,0,Still Active,457.2
CUST00039,2025-12-24,2025-12,Basic,9.6,Asia Pacific,Paid Ads,25-34,2.0,1,1,1,1,6.2,0,Still Active,59.52
CUST00040,2024-08-14,2024-08,Standard,19.53,North America,Paid Ads,25-34,2.4,0,1,1,1,22.5,0,Still Active,439.42
CUST00041,2024-12-16,2024-12,Basic,9.86,Asia Pacific,Partnership,25-34,3.1,0,1,1,1,18.462549277266753,0,Still Active,182.04
CUST00042,2024-12-12,2024-12,Standard,19.81,Asia Pacific,Organic Search,25-34,2.8,4,0,1,0,18.593955321944808,0,Still Active,368.35
CUST00043,2025-10-31,2025-10,Premium,38.7,Europe,Organic Search,18-24,2.8,1,1,0,1,7.982917214191852,0,Still Active,308.94
CUST00044,2025-02-12,2025-02,Premium,39.31,North America,Partnership,25-34,2.5,1,0,1,1,16.557161629434955,0,Still Active,650.86
CUST00045,2026-02-21,2026-02,Premium,38.88,North America,Social Media,55+,2.6,3,1,0,1,4.270696452036794,0,Still Active,166.04
CUST00046,2025-03-04,2025-03,Standard,19.81,Asia Pacific,Partnership,25-34,2.8,1,0,1,1,15.9,0,Still Active,314.98
CUST00047,2024-09-23,2024-09,Standard,19.65,Europe,Organic Search,35-44,1.0,5,0,1,1,1.4,1,Poor Customer Support,27.51
CUST00048,2026-06-11,2026-06,Standard,19.04,Europe,Organic Search,35-44,1.0,3,1,0,1,0.5,1,Poor Customer Support,9.52
CUST00049,2026-01-16,2026-01,Premium,39.21,North America,Organic Search,25-34,4.7,2,0,1,1,5.45335085413929,0,Still Active,213.83
CUST00050,2025-10-01,2025-10,Basic,9.84,Latin America,Referral,18-24,2.5,2,1,1,1,8.968462549277266,0,Still Active,88.25
CUST00051,2025-06-09,2025-06,Premium,39.81,North America,Referral,25-34,2.9,2,1,0,0,12.7,0,Still Active,505.59
CUST00052,2024-11-08,2024-11,Premium,38.09,North America,Paid Ads,45-54,1.5,2,1,1,1,19.7,0,Still Active,750.37
CUST00053,2025-08-20,2025-08,Standard,19.59,Europe,Organic Search,25-34,5.3,3,1,0,1,10.3,0,Still Active,201.78
CUST00054,2026-06-18,2026-06,Basic,9.74,North America,Referral,18-24,1.9,3,0,1,1,0.5,0,Still Active,4.87
CUST00055,2025-11-02,2025-11,Basic,9.81,Europe,Referral,25-34,4.2,2,1,0,0,7.9,0,Still Active,77.5
CUST00056,2025-07-21,2025-07,Premium,39.52,Asia Pacific,Organic Search,35-44,2.5,2,0,1,0,11.3,0,Still Active,446.58
CUST00057,2024-12-14,2024-12,Basic,9.56,Asia Pacific,Partnership,35-44,0.9,0,0,0,1,18.5,0,Still Active,176.86
CUST00058,2025-07-27,2025-07,Premium,39.07,Asia Pacific,Organic Search,25-34,3.2,1,2,0,1,11.1,0,Still Active,433.68
CUST00059,2026-04-01,2026-04,Standard,19.51,Europe,Referral,25-34,2.0,4,1,1,1,2.9894875164257555,0,Still Active,58.32
CUST00060,2025-06-30,2025-06,Basic,9.75,Europe,Social Media,25-34,1.1,3,0,1,1,12.0,0,Still Active,117.0
CUST00061,2025-04-03,2025-04,Premium,38.82,North America,Referral,18-24,3.7,5,1,0,0,14.9,0,Still Active,578.42
CUST00062,2025-04-30,2025-04,Standard,19.84,Europe,Organic Search,25-34,0.9,3,0,0,1,14.0,0,Still Active,277.76
CUST00063,2025-02-08,2025-02,Standard,19.05,North America,Paid Ads,35-44,2.9,2,1,0,1,16.68856767411301,0,Still Active,317.92
CUST00064,2026-05-28,2026-05,Standard,19.38,North America,Social Media,35-44,5.1,2,0,1,1,1.1,0,Still Active,21.32
CUST00065,2025-12-08,2025-12,Basic,9.79,North America,Organic Search,35-44,2.6,1,1,0,1,0.6,1,Technical Issues,5.87
CUST00066,2026-04-12,2026-04,Standard,19.9,Europe,Referral,35-44,3.8,5,1,0,1,2.6,0,Still Active,51.74
CUST00067,2024-12-17,2024-12,Basic,9.81,Europe,Partnership,25-34,4.1,0,0,1,0,18.4,0,Still Active,180.5
CUST00068,2025-06-09,2025-06,Premium,38.25,Latin America,Partnership,25-34,5.8,3,1,0,1,12.7,0,Still Active,485.78
CUST00069,2026-06-30,2026-06,Premium,39.35,North America,Paid Ads,25-34,1.2,2,0,1,0,0.5,0,Still Active,19.68
CUST00070,2025-06-07,2025-06,Basic,9.66,Latin America,Social Media,35-44,4.5,0,1,0,0,4.0,1,Technical Issues,38.64
CUST00071,2024-12-13,2024-12,Standard,19.58,Asia Pacific,Partnership,18-24,2.9,0,0,1,0,18.561103810775293,0,Still Active,363.43
CUST00072,2026-03-18,2026-03,Standard,19.56,Europe,Paid Ads,55+,2.2,1,2,0,1,3.4,0,Still Active,66.5
CUST00073,2025-03-12,2025-03,Basic,9.58,Europe,Organic Search,35-44,1.0,4,0,1,1,15.6,0,Still Active,149.45
CUST00074,2024-07-29,2024-07,Premium,39.63,North America,Organic Search,25-34,2.1,0,0,0,1,23.061760840998684,0,Still Active,913.94
CUST00075,2025-05-26,2025-05,Basic,9.76,Asia Pacific,Organic Search,35-44,3.9,4,0,1,1,13.173455978975033,0,Still Active,128.57
CUST00076,2024-07-02,2024-07,Basic,9.68,Europe,Social Media,18-24,2.6,2,1,0,0,23.9,0,Still Active,231.35
CUST00077,2024-12-23,2024-12,Standard,19.2,Latin America,Referral,25-34,2.3,1,0,0,1,18.2,0,Still Active,349.44
CUST00078,2026-01-21,2026-01,Standard,19.91,Europe,Social Media,25-34,2.3,3,2,0,1,5.289093298291721,0,Still Active,105.31
CUST00079,2025-12-12,2025-12,Standard,19.23,Asia Pacific,Social Media,25-34,2.0,4,0,0,1,6.6,0,Still Active,126.92
CUST00080,2025-10-05,2025-10,Standard,19.92,Asia Pacific,Referral,45-54,2.8,1,0,1,1,8.8,0,Still Active,175.3
CUST00081,2025-10-04,2025-10,Standard,19.53,North America,Referral,45-54,2.5,0,1,1,1,8.869908015768726,0,Still Active,173.23
CUST00082,2025-04-02,2025-04,Standard,19.49,North America,Organic Search,25-34,1.6,2,1,1,1,14.9,0,Still Active,290.4
CUST00083,2025-03-27,2025-03,Basic,9.73,Europe,Social Media,25-34,1.5,4,0,1,0,15.1,0,Still Active,146.92
CUST00084,2024-07-05,2024-07,Basic,9.93,Europe,Paid Ads,18-24,1.6,2,0,1,0,23.850197109067015,0,Still Active,236.83
CUST00085,2025-10-23,2025-10,Basic,9.9,North America,Referral,45-54,1.2,3,2,1,1,8.2,0,Still Active,81.18
CUST00086,2024-07-30,2024-07,Basic,9.83,Asia Pacific,Organic Search,25-34,1.1,3,1,1,1,23.0,0,Still Active,226.09
CUST00087,2025-09-09,2025-09,Standard,19.51,Europe,Partnership,25-34,1.7,2,1,0,1,9.69119579500657,0,Still Active,189.08
CUST00088,2024-07-07,2024-07,Basic,9.82,Latin America,Partnership,25-34,2.6,1,0,0,1,6.5,1,Not Enough Content Use,63.83
CUST00089,2024-07-12,2024-07,Basic,9.61,Asia Pacific,Paid Ads,25-34,4.5,3,0,1,1,23.6,0,Still Active,226.8
CUST00090,2025-07-29,2025-07,Basic,9.74,Europe,Referral,35-44,0.9,3,0,1,1,11.070959264126149,0,Still Active,107.83
CUST00091,2026-05-10,2026-05,Premium,38.27,Latin America,Referral,35-44,1.7,1,1,1,1,1.7,0,Still Active,65.06
CUST00092,2025-11-27,2025-11,Premium,38.25,Europe,Organic Search,35-44,2.4,5,2,0,0,7.09592641261498,0,Still Active,271.42
CUST00093,2025-12-26,2025-12,Standard,19.7,Asia Pacific,Organic Search,35-44,2.8,1,0,1,1,6.1,0,Still Active,120.17
CUST00094,2025-06-17,2025-06,Premium,39.88,North America,Referral,35-44,4.4,2,0,0,0,12.450722733245728,0,Still Active,496.53
CUST00095,2025-02-24,2025-02,Standard,19.79,North America,Organic Search,18-24,3.1,4,1,1,0,16.16294349540079,0,Still Active,319.86
CUST00096,2026-05-22,2026-05,Standard,19.93,Europe,Paid Ads,18-24,2.8,3,2,0,1,1.3,0,Still Active,25.91
CUST00097,2026-01-26,2026-01,Basic,9.6,Europe,Paid Ads,25-34,0.8,1,0,0,1,5.1,0,Still Active,48.96
CUST00098,2026-06-17,2026-06,Standard,19.25,Europe,Paid Ads,35-44,4.9,3,0,0,1,0.5,0,Still Active,9.62
CUST00099,2026-04-28,2026-04,Standard,19.41,Europe,Organic Search,55+,2.2,2,1,0,1,2.1,0,Still Active,40.76
CUST00100,2025-01-27,2025-01,Standard,19.37,North America,Paid Ads,18-24,7.1,4,1,0,0,17.082785808147175,0,Still Active,330.89
CUST00101,2025-07-23,2025-07,Standard,19.29,Latin America,Paid Ads,25-34,1.3,4,1,1,1,11.268068331143231,0,Still Active,217.36
CUST00102,2026-02-23,2026-02,Standard,19.28,Europe,Paid Ads,25-34,1.5,5,1,0,1,4.2,0,Still Active,80.98
CUST00103,2024-09-22,2024-09,Standard,19.9,Europe,Referral,45-54,5.0,4,1,1,0,21.254927726675426,0,Still Active,422.97
CUST00104,2025-03-17,2025-03,Premium,38.35,Europe,Partnership,45-54,1.4,4,2,1,0,15.473061760840999,0,Still Active,593.39
CUST00105,2026-04-30,2026-04,Basic,9.93,Asia Pacific,Organic Search,25-34,1.8,5,0,1,1,2.0,0,Still Active,19.86
CUST00106,2026-02-13,2026-02,Standard,19.5,Latin America,Social Media,35-44,2.4,2,0,1,1,4.5,0,Still Active,87.75
CUST00107,2025-02-18,2025-02,Standard,19.92,Europe,Organic Search,35-44,1.7,1,1,0,1,16.36005256241787,0,Still Active,325.89
CUST00108,2024-11-16,2024-11,Standard,19.01,North America,Referral,25-34,6.1,2,0,1,0,19.4,0,Still Active,368.79
CUST00109,2025-06-05,2025-06,Standard,19.21,Europe,Paid Ads,25-34,3.1,5,0,1,0,12.8,0,Still Active,245.89
CUST00110,2024-08-26,2024-08,Basic,9.74,Europe,Referral,35-44,1.5,4,1,1,1,22.1,0,Still Active,215.25
CUST00111,2025-05-09,2025-05,Standard,19.13,Asia Pacific,Referral,18-24,4.6,0,1,0,0,13.7,0,Still Active,262.08
CUST00112,2025-09-16,2025-09,Basic,9.6,North America,Paid Ads,25-34,3.1,3,0,1,1,9.461235216819974,0,Still Active,90.83
CUST00113,2025-06-18,2025-06,Standard,19.46,Latin America,Paid Ads,25-34,4.5,0,2,1,1,12.4,0,Still Active,241.3
CUST00114,2025-02-27,2025-02,Standard,19.76,Europe,Social Media,35-44,1.6,2,0,1,1,16.064388961892245,0,Still Active,317.43
CUST00115,2025-11-13,2025-11,Standard,19.78,Latin America,Organic Search,45-54,6.4,2,1,0,1,7.555847568988173,0,Still Active,149.45
CUST00116,2026-05-22,2026-05,Basic,9.8,North America,Organic Search,35-44,1.4,0,1,1,0,1.3,0,Still Active,12.74
CUST00117,2026-06-04,2026-06,Standard,19.9,Asia Pacific,Organic Search,18-24,0.7,2,1,1,1,0.8869908015768725,0,Still Active,17.65
CUST00118,2026-02-17,2026-02,Basic,9.8,Latin America,Organic Search,18-24,4.7,2,0,0,0,2.7,1,Too Expensive,26.46
CUST00119,2025-12-13,2025-12,Premium,38.04,Latin America,Paid Ads,35-44,1.6,2,3,1,0,6.570302233902759,0,Still Active,249.93
CUST00120,2026-05-30,2026-05,Premium,39.03,North America,Paid Ads,25-34,0.8,1,0,0,0,1.0512483574244416,0,Still Active,41.03
CUST00121,2026-05-15,2026-05,Premium,39.93,North America,Organic Search,35-44,5.8,3,1,1,1,1.5,0,Still Active,59.9
CUST00122,2025-02-14,2025-02,Standard,19.65,Europe,Organic Search,25-34,3.4,0,1,0,0,16.491458607095925,0,Still Active,324.06
CUST00123,2025-05-21,2025-05,Standard,19.68,North America,Referral,45-54,4.0,1,0,0,1,13.3,0,Still Active,261.74
CUST00124,2024-12-05,2024-12,Basic,9.55,North America,Social Media,45-54,3.8,1,1,1,1,18.8,0,Still Active,179.54
CUST00125,2024-07-04,2024-07,Basic,9.67,North America,Partnership,45-54,0.9,2,0,0,0,23.88304862023653,0,Still Active,230.95
CUST00126,2026-03-25,2026-03,Standard,19.84,Europe,Partnership,25-34,1.7,4,0,0,1,3.2,0,Still Active,63.49
CUST00127,2024-08-17,2024-08,Standard,19.1,Europe,Partnership,35-44,2.2,5,1,1,1,22.4,0,Still Active,427.84
CUST00128,2024-07-06,2024-07,Premium,39.67,North America,Social Media,25-34,9.9,4,1,1,0,23.8,0,Still Active,944.15
CUST00129,2025-01-01,2025-01,Basic,9.78,North America,Referral,45-54,0.9,2,0,0,0,17.9,0,Still Active,175.06
CUST00130,2024-10-27,2024-10,Premium,38.78,Europe,Organic Search,18-24,0.5,2,0,1,0,20.1,0,Still Active,779.48
CUST00131,2025-03-27,2025-03,Standard,19.92,Europe,Referral,45-54,6.1,2,2,0,0,15.1,0,Still Active,300.79
CUST00132,2024-09-27,2024-09,Standard,19.02,North America,Organic Search,25-34,3.3,0,2,1,1,21.090670170827856,0,Still Active,401.14
CUST00133,2026-06-27,2026-06,Basic,9.95,North America,Social Media,45-54,3.6,2,0,0,1,0.5,0,Still Active,4.97
CUST00134,2025-11-26,2025-11,Basic,9.93,Latin America,Paid Ads,35-44,0.8,2,2,1,0,7.1,0,Still Active,70.5
CUST00135,2025-02-14,2025-02,Standard,19.98,Latin America,Referral,25-34,3.4,1,1,0,1,16.491458607095925,0,Still Active,329.5
CUST00136,2025-05-30,2025-05,Standard,19.41,Latin America,Organic Search,55+,1.1,3,1,0,1,13.0,0,Still Active,252.33
CUST00137,2025-06-04,2025-06,Basic,9.72,Asia Pacific,Paid Ads,25-34,0.4,3,1,1,1,12.877792378449408,0,Still Active,125.17
CUST00138,2025-12-07,2025-12,Standard,19.7,North America,Paid Ads,55+,3.6,3,0,1,0,6.767411300919842,0,Still Active,133.32
CUST00139,2026-06-17,2026-06,Premium,38.21,Europe,Organic Search,45-54,1.4,1,2,1,0,0.5,0,Still Active,19.1
CUST00140,2024-12-25,2024-12,Premium,38.48,Europe,Paid Ads,55+,1.5,3,1,1,1,18.166885676741128,0,Still Active,699.06
CUST00141,2025-03-28,2025-03,Premium,38.87,Europe,Organic Search,18-24,2.4,2,2,1,1,15.1,0,Still Active,586.94
CUST00142,2024-08-10,2024-08,Basic,9.85,North America,Paid Ads,25-34,1.1,1,1,1,0,4.8,1,Too Expensive,47.28
CUST00143,2024-12-04,2024-12,Basic,9.74,Europe,Paid Ads,35-44,3.2,3,0,0,1,18.85676741130092,0,Still Active,183.66
CUST00144,2025-11-03,2025-11,Standard,19.22,Europe,Social Media,55+,3.2,1,0,1,0,7.884362680683311,0,Still Active,151.54
CUST00145,2024-12-15,2024-12,Basic,9.64,North America,Paid Ads,18-24,4.7,3,1,1,1,18.495400788436267,0,Still Active,178.3
CUST00146,2026-03-28,2026-03,Basic,9.86,Asia Pacific,Paid Ads,18-24,2.8,2,0,0,1,3.1,0,Still Active,30.57
CUST00147,2025-03-04,2025-03,Basic,9.89,North America,Partnership,25-34,1.6,2,0,0,0,15.9,0,Still Active,157.25
CUST00148,2025-05-21,2025-05,Basic,9.71,North America,Referral,45-54,2.5,2,0,0,1,1.6,1,No Longer Needed,15.54
CUST00149,2025-11-13,2025-11,Basic,9.59,North America,Paid Ads,45-54,0.7,0,0,0,1,7.555847568988173,0,Still Active,72.46
CUST00150,2024-09-15,2024-09,Basic,9.78,North America,Paid Ads,25-34,1.5,1,2,1,1,21.48488830486202,0,Still Active,210.12
CUST00151,2026-01-12,2026-01,Basic,9.69,North America,Social Media,18-24,4.0,1,0,1,0,5.5847568988173455,0,Still Active,54.12
CUST00152,2025-01-07,2025-01,Basic,9.81,Latin America,Paid Ads,35-44,0.8,0,2,0,1,17.7,0,Still Active,173.64
CUST00153,2026-05-27,2026-05,Standard,19.81,Europe,Paid Ads,25-34,1.9,2,0,0,0,1.1,0,Still Active,21.79
CUST00154,2025-01-23,2025-01,Standard,19.52,Europe,Social Media,35-44,6.7,1,1,1,1,17.2,0,Still Active,335.74
CUST00155,2026-01-23,2026-01,Standard,19.89,North America,Organic Search,25-34,1.7,5,0,1,0,5.2,0,Still Active,103.43
CUST00156,2024-08-02,2024-08,Basic,9.67,Europe,Social Media,35-44,3.2,2,0,1,0,22.9,0,Still Active,221.44
CUST00157,2025-11-01,2025-11,Basic,9.73,Asia Pacific,Paid Ads,45-54,2.5,3,0,1,0,7.9500657030223385,0,Still Active,77.35
CUST00158,2026-04-07,2026-04,Standard,19.56,Europe,Referral,35-44,3.0,3,0,1,1,2.7923784494086727,0,Still Active,54.62
CUST00159,2024-12-01,2024-12,Standard,19.71,Asia Pacific,Social Media,25-34,0.6,2,0,1,0,18.95532194480946,0,Still Active,373.61
CUST00160,2024-08-19,2024-08,Standard,19.52,Latin America,Organic Search,45-54,2.0,1,2,1,1,22.371879106438897,0,Still Active,436.7
CUST00161,2024-12-22,2024-12,Basic,9.9,Asia Pacific,Social Media,25-34,2.6,3,1,1,1,18.265440210249672,0,Still Active,180.83
CUST00162,2024-12-05,2024-12,Premium,39.38,Europe,Partnership,45-54,1.5,1,1,1,0,18.8,0,Still Active,740.34
CUST00163,2024-09-24,2024-09,Basic,9.67,North America,Paid Ads,18-24,0.7,2,0,1,1,13.5,1,Too Expensive,130.54
CUST00164,2026-06-04,2026-06,Standard,19.63,Europe,Partnership,45-54,2.2,1,0,1,1,0.8869908015768725,0,Still Active,17.41
CUST00165,2024-10-20,2024-10,Standard,19.31,Europe,Organic Search,18-24,19.2,4,0,1,0,20.3,0,Still Active,391.99
CUST00166,2024-12-23,2024-12,Standard,19.71,Asia Pacific,Social Media,18-24,1.1,3,0,1,1,18.2,0,Still Active,358.72
CUST00167,2025-07-27,2025-07,Basic,9.82,Asia Pacific,Paid Ads,25-34,1.9,3,2,0,0,0.8,1,Poor Customer Support,7.86
CUST00168,2025-08-05,2025-08,Basic,9.58,Asia Pacific,Paid Ads,55+,5.0,3,0,0,0,10.8,0,Still Active,103.46
CUST00169,2024-09-30,2024-09,Standard,19.69,Asia Pacific,Organic Search,55+,4.2,4,1,0,0,20.992115637319316,0,Still Active,413.33
CUST00170,2025-02-11,2025-02,Basic,9.56,North America,Paid Ads,25-34,3.8,1,0,0,1,16.590013140604466,0,Still Active,158.6
CUST00171,2025-07-19,2025-07,Basic,9.54,North America,Organic Search,18-24,1.9,2,2,1,1,11.399474375821287,0,Still Active,108.75
CUST00172,2025-03-16,2025-03,Basic,9.81,North America,Partnership,25-34,1.3,1,0,0,1,15.5,0,Still Active,152.06
CUST00173,2025-11-13,2025-11,Premium,38.66,Latin America,Social Media,25-34,6.5,2,0,1,0,7.555847568988173,0,Still Active,292.11
CUST00174,2025-12-24,2025-12,Basic,9.57,Asia Pacific,Organic Search,45-54,3.4,1,3,1,1,6.2,0,Still Active,59.33
CUST00175,2025-11-19,2025-11,Premium,39.96,Europe,Organic Search,25-34,1.4,1,1,0,1,7.35873850197109,0,Still Active,294.06
CUST00176,2025-06-12,2025-06,Standard,19.86,Asia Pacific,Social Media,45-54,1.8,0,2,1,1,12.6,0,Still Active,250.24
CUST00177,2025-06-20,2025-06,Premium,38.34,Asia Pacific,Paid Ads,35-44,3.2,5,0,1,0,12.352168199737187,0,Still Active,473.58
CUST00178,2025-09-22,2025-09,Premium,39.88,Latin America,Organic Search,35-44,2.7,1,1,1,1,9.264126149802891,0,Still Active,369.45
CUST00179,2024-10-07,2024-10,Standard,19.6,Asia Pacific,Paid Ads,45-54,0.7,5,0,1,1,20.76215505913272,0,Still Active,406.94
CUST00180,2024-10-12,2024-10,Basic,9.75,Europe,Paid Ads,25-34,2.0,4,1,1,0,20.59789750328515,0,Still Active,200.83
CUST00181,2025-10-16,2025-10,Basic,9.67,Europe,Organic Search,25-34,0.3,1,0,0,1,2.3,1,Not Enough Content Use,22.24
CUST00182,2025-07-08,2025-07,Basic,9.65,North America,Referral,45-54,0.9,1,0,1,1,11.76084099868594,0,Still Active,113.49
CUST00183,2024-07-22,2024-07,Standard,19.09,Europe,Referral,25-34,5.5,4,0,0,1,23.291721419185283,0,Still Active,444.64
CUST00184,2025-04-02,2025-04,Basic,9.58,Europe,Organic Search,18-24,3.7,1,0,0,1,14.9,0,Still Active,142.74
CUST00185,2025-05-17,2025-05,Basic,9.62,North America,Partnership,55+,3.4,2,0,1,0,13.469119579500656,0,Still Active,129.57
CUST00186,2024-09-21,2024-09,Basic,9.86,Asia Pacific,Referral,35-44,2.0,2,1,1,1,21.28777923784494,0,Still Active,209.9
CUST00187,2025-08-18,2025-08,Premium,39.91,Europe,Organic Search,25-34,5.2,0,1,0,1,10.4,0,Still Active,415.06
CUST00188,2024-08-24,2024-08,Basic,9.72,Latin America,Organic Search,35-44,1.8,3,0,0,1,22.2,0,Still Active,215.78
CUST00189,2025-11-19,2025-11,Basic,9.68,North America,Organic Search,25-34,3.8,2,1,1,1,7.35873850197109,0,Still Active,71.23
CUST00190,2025-11-10,2025-11,Basic,9.92,Europe,Paid Ads,55+,1.4,2,0,0,1,7.654402102496714,0,Still Active,75.93
CUST00191,2024-08-17,2024-08,Premium,39.35,Europe,Organic Search,18-24,0.3,2,1,0,0,22.4,0,Still Active,881.44
CUST00192,2024-09-06,2024-09,Standard,19.24,North America,Paid Ads,35-44,1.2,1,2,0,1,21.780551905387647,0,Still Active,419.06
CUST00193,2025-06-23,2025-06,Basic,9.76,Europe,Organic Search,45-54,2.0,2,1,1,0,5.5,1,Not Enough Content Use,53.68
CUST00194,2024-08-29,2024-08,Basic,9.93,North America,Referral,25-34,4.3,0,1,0,0,22.0,0,Still Active,218.46
CUST00195,2024-11-01,2024-11,Basic,9.82,North America,Social Media,45-54,1.4,0,2,1,1,19.9,0,Still Active,195.42
CUST00196,2025-03-17,2025-03,Basic,9.68,North America,Paid Ads,55+,2.0,2,0,1,1,15.473061760840999,0,Still Active,149.78
CUST00197,2025-11-11,2025-11,Premium,38.85,North America,Referral,35-44,4.3,1,0,0,1,7.6,0,Still Active,295.26
CUST00198,2024-08-09,2024-08,Standard,19.89,Asia Pacific,Partnership,25-34,1.6,1,0,1,1,22.7,0,Still Active,451.5
CUST00199,2026-03-11,2026-03,Standard,19.7,North America,Referral,35-44,2.2,2,0,1,1,3.679369250985545,0,Still Active,72.48
